Category,Customer_ID,Discount,Market,Order_Date,Order_Priority,Product_ID,Product_Name,Profit,Quantity,Region,Segment,Ship_Date,Ship_Mode,Shipping_Cost,Sub_Category,Year,Market2,weeknum,Ship_Delay,Campaign
Office Supplies,LS-172304,0.0,US,2011-01-07,High,OFF-PA-10002005,Xerox 225,9.3312,3,West,Consumer,2011-01-09,Second Class,4.37,Paper,2011.0,North America,2,2,0.0
Office Supplies,MV-174854,0.0,US,2011-01-21,Medium,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2,West,Consumer,2011-01-26,Standard Class,0.94,Paper,2011.0,North America,4,5,0.0
Office Supplies,CS-121304,0.0,US,2011-08-05,Medium,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",9.8418,3,West,Consumer,2011-08-09,Standard Class,1.81,Paper,2011.0,North America,32,4,0.0
Office Supplies,CS-121304,0.0,US,2011-08-05,Medium,OFF-PA-10001144,Xerox 1913,53.2608,2,West,Consumer,2011-08-09,Standard Class,4.59,Paper,2011.0,North America,32,4,0.0
Office Supplies,AP-109154,0.0,US,2011-09-29,High,OFF-PA-10002105,Xerox 223,3.1104,1,West,Consumer,2011-10-03,Standard Class,1.32,Paper,2011.0,North America,40,4,0.0
Office Supplies,JF-154904,0.0,US,2011-10-19,Critical,OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,6.5856,3,West,Consumer,2011-10-19,Same Day,2.39,Paper,2011.0,North America,43,0,0.0
Office Supplies,WB-218504,0.0,US,2011-11-04,Medium,OFF-PA-10000223,Xerox 2000,9.3312,3,West,Consumer,2011-11-11,Standard Class,1.15,Paper,2011.0,North America,45,7,0.0
Office Supplies,JA-159704,0.0,US,2011-11-12,High,OFF-PA-10001947,Xerox 1974,5.8604,2,West,Consumer,2011-11-16,Standard Class,0.92,Paper,2011.0,North America,46,4,0.0
Office Supplies,SP-209204,0.0,US,2011-11-22,High,OFF-PA-10002245,Xerox 1895,24.219,9,West,Consumer,2011-11-26,Standard Class,6.98,Paper,2011.0,North America,48,4,0.0
Office Supplies,RL-196154,0.0,US,2011-12-05,Medium,OFF-PA-10001363,Xerox 1933,23.0864,4,West,Consumer,2011-12-10,Standard Class,1.99,Paper,2011.0,North America,50,5,0.0
Office Supplies,KD-163454,0.0,US,2011-12-13,High,OFF-PA-10001457,White GlueTop Scratch Pads,41.5104,6,West,Consumer,2011-12-15,Second Class,8.53,Paper,2011.0,North America,51,2,0.0
Office Supplies,JM-161954,0.0,US,2012-02-15,Medium,OFF-PA-10004285,Xerox 1959,6.4128,2,West,Consumer,2012-02-18,Second Class,1.0,Paper,2012.0,North America,7,3,0.0
Office Supplies,JM-161954,0.0,US,2012-02-15,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,West,Consumer,2012-02-18,Second Class,0.06,Paper,2012.0,North America,7,3,0.0
Office Supplies,RD-195854,0.0,US,2012-02-16,High,OFF-PA-10001970,Xerox 1881,17.3148,3,West,Consumer,2012-02-21,Standard Class,4.04,Paper,2012.0,North America,7,5,0.0
Office Supplies,AB-101654,0.0,US,2012-03-28,Medium,OFF-PA-10000743,Xerox 1977,16.032,5,West,Consumer,2012-04-02,Standard Class,2.25,Paper,2012.0,North America,13,5,0.0
Office Supplies,AR-105404,0.0,US,2012-04-11,Medium,OFF-PA-10003127,Staples,24.2696,2,West,Consumer,2012-04-14,Second Class,1.59,Paper,2012.0,North America,15,3,0.0
Office Supplies,LH-171554,0.0,US,2012-06-19,Medium,OFF-PA-10004355,Xerox 231,3.1104,1,West,Consumer,2012-06-23,Standard Class,0.52,Paper,2012.0,North America,25,4,0.0
